"SUID","AverageShortestPathLength","BetweennessCentrality","Chromosome Name","chromosome_name","ClosenessCentrality","ClusteringCoefficient","Drug(s)","Eccentricity","Entrez Gene Name","Exp False Discovery Rate (q-value)","Exp Log Ratio","Exp p-value","ID","IsSingleNode","Location","name","NeighborhoodConnectivity","Node Degree","NombreCromosoma","Notes","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","Symbol","TopologicalCoefficient","Type(s)"
"20415","5.43104676","0.00539067","18","18","0.18412657","0.15","","13","cytochrome b5 type A (microsomal)","1.0","-0.119","1.0","1528","false","Cytoplasm","CYB5A","7.875","16","18","","16","0","0","0.79858878","true","0","CYB5A","734662","","0.10982143","enzyme"
"20416","5.17422264","0.02117158","16",,"0.19326575","0.12689394","","14","lactate dehydrogenase D","9.48E-33","-1.346","7.23E-34","197257","false","Cytoplasm","LDHD","14.09090909","33","16","","33","0","0","0.81026261","true","0","LDHD","3277772","","0.06911479","enzyme"
"20417","5.40517446","0.0104407","CHR_HSCHR17_7_CTG4",,"0.1850079","0.15686275","","13","acetyl-CoA carboxylase alpha","1.0","0.31","0.997","31","false","Cytoplasm","ACACA","10.05555556","18","17","","18","0","0","0.7997648","true","0","ACACA","1374172","","0.0932914","enzyme"
"20418","7.30880608","0.00200701","15",,"0.13682125","0.0","","15","alpha- and gamma-adaptin binding protein","3.71E-22","0.854","3.83E-23","79719","false","Cytoplasm","AAGAB","2.66666667","1","15","","3","0","0","0.71323609","true","0","AAGAB","271036","","0.33333333","other"
"20419","6.4229765","0.00219628","11",,"0.15569106","0.0","","14","transmembrane 7 superfamily member 2","1.0","-0.395","0.973","7108","false","Cytoplasm","TM7SF2","6.0","2","11","","2","0","0","0.75350107","true","0","TM7SF2","292012","","0.5","enzyme"
"20420","7.52290529","0.00297646","2",,"0.13292737","0.0","","16","actin related protein 2/3 complex, subunit 2, 34kDa","1.0","0.247","1.0","10109","false","Cytoplasm","ARPC2","2.25","4","2","","4","0","0","0.7035043","true","0","ARPC2","564952","","0.25","other"
"20421","8.30809399","4.7472E-4","15",,"0.12036455","0.0","","16","3-hydroxyacyl-CoA dehydratase 3","2.17E-11","0.848","3.27E-12","51495","false","Cytoplasm","HACD3","2.0","1","15","","2","0","0","0.66781391","true","0","HACD3","65428","","0.5","enzyme"
"20422","6.91621173","1.9009E-4","2",,"0.14458782","0.0","","15","AP2 associated kinase 1","1.0","0.116","1.0","22848","false","Cytoplasm","AAK1","3.0","2","2","","2","0","0","0.73108129","true","0","AAK1","43514","","0.5","kinase"
"20423","7.27533824","7.854E-5","16",,"0.13745065","0.0","","15","cyclin F","1.81E-53","1.271","8.83E-55","899","false","Nucleus","CCNF","3.0","2","16","","2","0","0","0.71475735","true","0","CCNF","7146","","0.5","other"
"20424","6.0866366","6.0979E-4","17",,"0.16429435","0.16666667","","16","SCO1 cytochrome c oxidase assembly protein","1.0","-0.053","1.0","6341","false","Cytoplasm","SCO1","8.75","22","17","","4","0","0","0.76878925","true","0","SCO1","142334","","0.28448276","other"
"20425","6.69404225","0.0","11",,"0.14938657","0.0","","16","adipogenesis associated, Mth938 domain containing","1.0","-0.222","1.0","28971","false","Cytoplasm","AAMDC","3.0","7","11","","1","0","0","0.7411799","true","0","AAMDC","0","","0.0","other"
"20426","5.69427961","0.0010814","9",,"0.17561484","0.0","","15","adenylate kinase 1","1.0","-0.169","1.0","203","false","Cytoplasm","AK1","14.66666667","3","9","","3","0","0","0.78662365","true","0","AK1","162778","","0.33333333","kinase"
"20427","5.9223831","1.74E-5","2",,"0.16885095","0.6","","14","angio-associated, migratory cell protein","1.0","0.156","1.0","14","false","Plasma Membrane","AAMP","25.0","3","2","","6","0","0","0.77625531","true","0","AAMP","6944","","0.29411765","other"
"20428","5.58746736","5.6778E-4","X",,"0.17897196","0.47794118","","14","GRIP1 associated protein 1","1.0","0.213","1.0","56850","false","Plasma Membrane","GRIPAP1","26.82352941","1","X","","17","0","0","0.79147876","true","0","GRIPAP1","120278","","0.19159664","other"
"20429","5.25801092","0.00538969","11",,"0.19018599","0.35","","13","UBX domain protein 1","1.0","-0.159","1.0","51035","false","Cytoplasm","UBXN1","23.44","5","11","","25","0","0","0.80645405","true","0","UBXN1","1018954","","0.14072289","other"
"20430","5.50391645","0.00138836","9",,"0.1816888","0.38235294","","14","endothelial differentiation-related factor 1","1.0","0.171","1.0","8721","false","Nucleus","EDF1","25.05882353","3","9","","17","0","0","0.79527653","true","0","EDF1","441700","","0.16301423","transcription regulator"
"20431","5.69404225","0.001015","2",,"0.17562216","0.28571429","","14","DnaJ (Hsp40) homolog, subfamily B, member 2","1.0","0.065","1.0","3300","false","Nucleus","DNAJB2","19.125","1","2","","8","0","0","0.78663444","true","0","DNAJB2","319580","","0.21111111","other"
"20432","5.7051982","0.00100342","2",,"0.17527875","0.3047619","","14","protein phosphatase, Mg2+/Mn2+ dependent, 1G","1.0","0.451","0.985","5496","false","Nucleus","PPM1G","25.06666667","15","2","","15","0","0","0.78612735","true","0","PPM1G","300634","","0.17889688","phosphatase"
"20433","5.06574887","0.01941712","11",,"0.19740418","0.15539947","","13","squamous cell carcinoma antigen recognized by T cells 1","1.0","0.086","1.0","9092","false","Nucleus","SART1","16.60294118","6","11","","68","0","0","0.81519323","true","0","SART1","5372664","","0.06448844","other"
"20434","6.42724899","0.0","6",,"0.15558756","0.0","","16","alanyl-tRNA synthetase 2, mitochondrial","1.0","-0.009","1.0","57505","false","Cytoplasm","AARS2","13.0","1","6","","1","0","0","0.75330686","true","0","AARS2","0","","0.0","enzyme"
"20435","5.42748635","0.00484937","13",,"0.18424735","0.1025641","","15","integrator complex subunit 6","1.0","0.392","0.996","26512","false","Nucleus","INTS6","13.38461538","1","13","","13","0","0","0.79875062","true","0","INTS6","733382","","0.11339523","enzyme"
"20436","6.03774033","0.00110154","7",,"0.16562488","0.06666667","","15","aminoadipate-semialdehyde synthase","3.09E-56","-1.241","1.43E-57","10157","false","Cytoplasm","AASS","9.16666667","6","7","","6","0","0","0.7710118","true","0","AASS","153720","","0.19767442","enzyme"
"20437","5.49323522","0.00818137","12",,"0.18204209","0.16339869","","15","peroxisomal membrane protein 2, 22kDa","1.0","-0.022","1.0","5827","false","Cytoplasm","PXMP2","13.88888889","18","12","","18","0","0","0.79576204","true","0","PXMP2","1183644","","0.10594315","other"
"20438","5.72727273","4.9331E-4","4",,"0.17460317","0.24444444","","15","hydroxyacyl-CoA dehydrogenase","9.44E-23","-0.996","9.57E-24","3033","false","Cytoplasm","HADH","13.5","10","4","","10","0","0","0.78512397","true","0","HADH","96934","","0.16875","enzyme"
"20439","5.90909091","0.00245259","15",,"0.16923077","0.26666667","","14","calcineurin-like EF-hand protein 1","1.0","-0.095","1.0","11261","false","Cytoplasm","CHP1","13.0","6","15","","6","0","0","0.7768595","true","0","CHP1","294104","","0.21388889","transporter"
"20440","7.03750297","0.0","12",,"0.14209585","0.0","","16","interleukin-1 receptor-associated kinase 3","1.81E-15","-1.402","2.34E-16","11213","false","Cytoplasm","IRAK3","6.0","1","12","","1","0","0","0.72556805","true","0","IRAK3","0","","0.0","kinase"
"20441","5.39069547","0.00444747","14",,"0.18550482","0.1372549","","14","aldehyde dehydrogenase 6 family, member A1","5.38E-11","-0.812","8.24E-12","4329","false","Cytoplasm","ALDH6A1","13.83333333","18","14","","18","0","0","0.80042293","true","0","ALDH6A1","799504","","0.10390161","enzyme"
"20442","6.80939948","1.5029E-4","3","3","0.14685583","0.0","cilengitide","16","integrin, beta 5","1.0","0.148","1.0","3693","false","Plasma Membrane","ITGB5","4.5","2","3","","2","0","0","0.73593639","true","0","ITGB5","11878","","0.5","other"
"20443","8.44149062","0.0","17",,"0.11846249","0.0","","15","ATP-binding cassette, sub-family A (ABC1), member 10","2.21E-188","-2.495","1.22E-190","10349","false","Other","ABCA10","2.0","1","17","","1","0","0","0.66175043","true","0","ABCA10","0","","0.0","transporter"
"20444","7.44172798","4.7472E-4","20","20","0.13437739","0.0","","14","ADAM metallopeptidase domain 33","1.83E-248","-2.45","2.75E-251","80332","false","Plasma Membrane","ADAM33","3.5","2","20","","2","0","0","0.70719418","true","0","ADAM33","70136","","0.5","peptidase"
"20445","6.63612628","0.0","17",,"0.15069032","1.0","","13","ATP-binding cassette, sub-family A (ABC1), member 9","3.64E-231","-3.148","8.81E-234","10350","false","Cytoplasm","ABCA9","23.0","3","17","","3","0","0","0.74381244","true","0","ABCA9","0","","0.54761905","transporter"
"20446","6.27082839","7.7883E-4","9","9","0.15946856","0.43809524","","13","polypeptide N-acetylgalactosaminyltransferase 12","1.67E-15","-1.213","2.15E-16","79695","false","Cytoplasm","GALNT12","17.53333333","15","9","","15","0","0","0.76041689","true","0","GALNT12","166322","","0.22307692","enzyme"
"20447","5.87087586","0.00722158","CHR_HSCHR6_MHC_QBL_CTG1",,"0.17033234","0.24395161","","12","tenascin XB","1.38E-276","-3.615","6.31E-280","7148","false","Extracellular Space","TNXB","15.09375","32","6","","32","0","0","0.77859655","true","0","TNXB","1563128","","0.10858813","other"
"20448","5.83313553","0.00735201","2",,"0.17143438","0.37229437","","13","atypical chemokine receptor 3","1.48E-18","-1.17","1.73E-19","57007","false","Plasma Membrane","ACKR3","16.22727273","22","2","","22","0","0","0.78031202","true","0","ACKR3","1561886","","0.16558442","G-protein coupled receptor"
"20449","7.12319013","5.3685E-4","1",,"0.14038654","0.16666667","","17","ATP-binding cassette, sub-family B (MDR/TAP), member 10","1.0","0.25","1.0","23456","false","Cytoplasm","ABCB10","7.0","4","1","","4","0","0","0.72167318","true","0","ABCB10","106830","","0.325","transporter"
"20450","8.12295277","0.0","11","11","0.12310794","0.0","","18","Rho GTPase activating protein 32","1.44E-15","1.095","1.85E-16","9743","false","Cytoplasm","ARHGAP32","4.0","1","11","","1","0","0","0.67622942","true","0","ARHGAP32","0","","0.0","other"
"20451","6.55637313","0.00183442","3",,"0.15252335","0.0","","16","coproporphyrinogen oxidase","1.0","0.167","1.0","1371","false","Cytoplasm","CPOX","3.66666667","6","3","","6","0","0","0.74743758","true","0","CPOX","256418","","0.17777778","enzyme"
"20452","6.27866129","0.00351454","7",,"0.15926962","0.21818182","","16","transmembrane protein 106B","1.0","0.22","1.0","54664","false","Cytoplasm","TMEM106B","7.81818182","11","7","","11","0","0","0.76006085","true","0","TMEM106B","537716","","0.17171717","other"
"20453","6.65606456","9.7523E-4","9",,"0.15023893","0.22222222","","16","DNAJC25-GNG10 readthrough","1.0","-0.052","1.0","552891","false","Other","DNAJC25-GNG10","7.4","1","9","","10","0","0","0.74290616","true","0","DNAJC25-GNG10","170408","","0.17380952","other"
"20454","6.01614052","3.0196E-4","7",,"0.16621952","0.0","dofequidar, tariquidar, OC 144-093, valspodar","14","ATP-binding cassette, sub-family B (MDR/TAP), member 1","9.61E-30","-1.083","7.88E-31","5243","false","Plasma Membrane","ABCB1","16.0","2","7","","2","0","0","0.77199361","true","0","ABCB1","36564","","0.51724138","transporter"
"20455","5.13387135","0.0147719","6",,"0.19478478","0.04678363","","13","acetyl-CoA acetyltransferase 2","1.0","0.495","0.535","39","false","Cytoplasm","ACAT2","6.84210526","19","6","","19","0","0","0.81209676","true","0","ACAT2","2020010","","0.07096393","enzyme"
"20456","5.61903632","0.00793651","8","8","0.17796646","0.05128205","","13","leucine zipper, putative tumor suppressor 1","1.0","-0.488","0.607","11178","false","Nucleus","LZTS1","5.53846154","13","8","","13","0","0","0.7900438","true","0","LZTS1","1029822","","0.09615385","transcription regulator"
"20457","6.67908854","0.00159168","7",,"0.14972103","0.13333333","","14","ATP-binding cassette, sub-family B (MDR/TAP), member 5","3.05E-35","-1.067","2.2E-36","340273","false","Plasma Membrane","ABCB5","4.83333333","6","7","","6","0","0","0.74185961","true","0","ABCB5","212330","","0.21666667","transporter"
"20458","7.67885117","0.0","6","6","0.13022781","0.0","","15","thrombospondin 2","2.84E-4","0.676","6.23E-5","7058","false","Extracellular Space","THBS2","6.0","1","6","","1","0","0","0.69641586","true","0","THBS2","0","","0.0","other"
"20459","7.67885117","0.0","17",,"0.13022781","0.0","","15","ring finger and FYVE-like domain containing E3 ubiquitin protein ligase","1.0","0.343","1.0","117584","false","Cytoplasm","RFFL","6.0","4","17","","1","0","0","0.69641586","true","0","RFFL","0","","0.0","enzyme"
"20460","7.17540945","9.2856E-4","16","16","0.13936487","0.3","MMP2 MMP9 inhibitor, marimastat","15","matrix metallopeptidase 2","1.0","-0.216","1.0","4313","false","Extracellular Space","MMP2","4.6","5","16","","5","0","0","0.71929957","true","0","MMP2","155284","","0.29333333","peptidase"
"20461","6.4903869","0.00202818","9","9","0.15407402","0.0","","14","osteoglycin","9.96E-91","-3.235","2.41E-92","4969","false","Extracellular Space","OGN","5.28571429","7","9","","7","0","0","0.75043696","true","0","OGN","228454","","0.15306122","growth factor"
"20462","5.97199146","0.00523283","3","3","0.16744833","0.11111111","","14","microphthalmia-associated transcription factor","0.831","-0.529","0.27","4286","false","Nucleus","MITF","7.33333333","9","3","","9","0","0","0.77400039","true","0","MITF","702556","","0.13461538","transcription regulator"
"20463","6.2845953","0.00304139","1","1","0.15911924","0.26666667","cathepsin K inhibitor","15","cathepsin K","1.0","-0.136","1.0","1513","false","Cytoplasm","CTSK","8.0","6","1","","6","0","0","0.75979112","true","0","CTSK","415228","","0.21759259","peptidase"
"20464","6.40897223","0.0","2",,"0.15603126","0.0","","15","ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)","1.0","-0.093","1.0","10058","false","Cytoplasm","ABCB6","16.0","1","2","","1","0","0","0.75413763","true","0","ABCB6","0","","0.0","transporter"
"20465","5.40920959","0.00504051","1",,"0.18486989","0.19166667","","14","aldehyde dehydrogenase 4 family, member A1","1.07E-5","-0.812","2.13E-6","8659","false","Cytoplasm","ALDH4A1","15.9375","16","1","","16","0","0","0.79958138","true","0","ALDH4A1","1168128","","0.1235119","enzyme"
"20466","5.73771659","8.908E-4","X",,"0.17428536","0.46428571","","16","ATP-binding cassette, sub-family B (MDR/TAP), member 7","1.0","0.064","1.0","22","false","Cytoplasm","ABCB7","19.375","8","X","","8","0","0","0.78464925","true","0","ABCB7","172724","","0.19770408","transporter"
"20467","5.3375267","0.0147178","3",,"0.18735269","0.10098522","","15","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa","1.0","0.134","1.0","4711","false","Cytoplasm","NDUFB5","11.13793103","4","3","","29","0","0","0.8028397","true","0","NDUFB5","2281638","","0.06831897","enzyme"
"20468","5.68502255","0.00234746","1",,"0.1759008","0.15151515","perhexiline","15","carnitine palmitoyltransferase 2","1.0","0.109","1.0","1376","false","Cytoplasm","CPT2","11.83333333","12","1","","12","0","0","0.78704443","true","0","CPT2","417142","","0.12921348","enzyme"
"20469","5.69166864","0.00328341","14",,"0.1756954","0.06666667","","15","exonuclease 3'-5' domain containing 2","1.0","0.089","1.0","55218","false","Other","EXD2","9.66666667","1","14","","6","0","0","0.78674233","true","0","EXD2","617694","","0.1875","other"
"20470","5.34227391","0.01357168","1",,"0.18718621","0.15810277","","15","ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1","1.0","0.199","1.0","515","false","Cytoplasm","ATP5F1","12.91304348","8","1","","23","0","0","0.80262391","true","0","ATP5F1","3612358","","0.09908999","transporter"
"20471","5.80037978","8.2438E-4","1",,"0.1724025","0.36363636","","15","mitochondrial ribosomal protein L37","1.0","0.328","1.0","51253","false","Cytoplasm","MRPL37","13.0","2","1","","11","0","0","0.78180092","true","0","MRPL37","179858","","0.17444717","enzyme"
"20472","5.37194398","0.00727108","5",,"0.18615235","0.1038961","","15","NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)","1.0","-0.018","1.0","4724","false","Cytoplasm","NDUFS4","9.22727273","22","5","","22","0","0","0.80127527","true","0","NDUFS4","1448848","","0.09044995","enzyme"
"20473","5.20199383","0.00992867","16",,"0.19223398","0.13903743","","15","ubiquinol-cytochrome c reductase core protein II","1.0","-0.295","1.0","7385","false","Cytoplasm","UQCRC2","12.55882353","34","16","","34","0","0","0.80900028","true","0","UQCRC2","2110034","","0.07102273","enzyme"
"20474","5.5252789","0.0","12","12","0.18098634","0.0","","14","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","1.0","-0.486","0.627","10060","false","Plasma Membrane","ABCC9","61.0","8","12","","1","0","0","0.7943055","true","0","ABCC9","0","","0.0","ion channel"
"20475","4.52551626","0.02545683","1","1","0.22096926","0.17431694","","13","hook microtubule-tethering protein 1","1.1E-47","1.362","6.07E-49","51361","false","Cytoplasm","HOOK1","22.96721311","61","1","","61","0","0","0.83974926","true","0","HOOK1","6175824","","0.06090862","other"
"20476","6.82316639","0.0","X",,"0.14655952","0.0","","16","ATP-binding cassette, sub-family D (ALD), member 1","1.0","0.081","1.0","215","false","Plasma Membrane","ABCD1","7.0","1","X","","1","0","0","0.73531062","true","0","ABCD1","0","","0.0","transporter"
"20477","5.82340375","0.00103249","8","8","0.17172088","0.0","","15","heat-responsive protein 12","1.0","0.328","1.0","10247","false","Cytoplasm","HRSP12","9.14285714","7","8","","7","0","0","0.78075437","true","0","HRSP12","144924","","0.15659341","enzyme"
"20478","8.13814384","5.5805E-4","14",,"0.12287814","0.0","","17","ATP-binding cassette, sub-family D (ALD), member 4","1.22E-15","-0.767","1.57E-16","5826","false","Cytoplasm","ABCD4","5.5","2","14","","2","0","0","0.67553892","true","0","ABCD4","60468","","0.5","transporter"
"20479","7.96676952","6.1078E-4","1","1","0.12552139","0.5","","16","guanylate binding protein family, member 6","1.0","-0.155","1.0","163351","false","Cytoplasm","GBP6","3.75","1","1","","4","0","0","0.68332866","true","0","GBP6","59182","","0.4375","enzyme"
"20480","7.51958225","0.00242243","CHR_HSCHR17_1_CTG2",,"0.13298611","0.0952381","","18","scavenger receptor class F, member 1","1.34E-77","-0.926","4.06E-79","8578","false","Plasma Membrane","SCARF1","4.14285714","7","17","","7","0","0","0.70365535","true","0","SCARF1","473448","","0.17857143","transmembrane receptor"
"20481","5.77901733","0.00597321","4",,"0.1730398","0.25641026","","15","ATP-binding cassette, sub-family E (OABP), member 1","1.0","0.399","0.997","6059","false","Cytoplasm","ABCE1","7.92307692","6","4","","13","0","0","0.78277194","true","0","ABCE1","1815716","","0.14658926","transporter"
"20482","5.72584856","0.00633345","12",,"0.1746466","0.14285714","","14","PTC7 protein phosphatase homolog","1.11E-5","-0.677","2.22E-6","160760","false","Cytoplasm","PPTC7","8.42857143","7","12","","7","0","0","0.7851887","true","0","PPTC7","1289782","","0.18272425","phosphatase"
"20483","6.71326845","4.7472E-4","1",,"0.14895874","0.33333333","cytidine triphosphate synthetase inhibitor","16","CTP synthase 1","2.71E-24","0.947","2.61E-25","1503","false","Nucleus","CTPS1","8.66666667","3","1","","3","0","0","0.74030598","true","0","CTPS1","85860","","0.49019608","enzyme"
"20484","6.77830525","4.7472E-4","6",,"0.1475295","0.0","","16","coiled-coil domain containing 28A","1.0","-0.272","1.0","25901","false","Other","CCDC28A","7.0","2","6","","2","0","0","0.73734976","true","0","CCDC28A","53776","","0.5","other"
"20485","6.77877997","0.0","15",,"0.14751917","0.0","","16","aldehyde dehydrogenase 1 family, member A3","2.3E-46","-1.775","1.31E-47","220","false","Cytoplasm","ALDH1A3","13.0","1","15","","1","0","0","0.73732818","true","0","ALDH1A3","0","","0.0","enzyme"
"20486","5.74887254","9.0163E-4","16",,"0.17394715","0.41666667","","15","NIP7, nucleolar pre-rRNA processing protein","1.0","0.061","1.0","51388","false","Nucleus","NIP7","12.11111111","5","16","","9","0","0","0.78414216","true","0","NIP7","188346","","0.19047619","other"
"20487","6.77142179","0.00615379","12",,"0.14767947","0.33333333","","16","cryptochrome circadian clock 1","1.0","0.146","1.0","1407","false","Nucleus","CRY1","11.0","3","12","","3","0","0","0.73766265","true","0","CRY1","2779192","","0.44444444","enzyme"
"20488","6.02183717","1.6221E-4","10",,"0.16606228","0.5","","16","ribosomal RNA processing 12 homolog","1.25E-10","0.717","1.94E-11","23223","false","Nucleus","RRP12","13.5","4","10","","4","0","0","0.77173467","true","0","RRP12","36598","","0.32317073","other"
"20489","5.9494422","0.00213495","1",,"0.16808298","0.47619048","","16","URB2 ribosome biogenesis 2 homolog (S. cerevisiae)","0.0503","0.582","0.0135","9816","false","Nucleus","URB2","11.85714286","2","1","","7","0","0","0.77502535","true","0","URB2","304250","","0.24107143","other"
"20490","6.32043674","1.6513E-4","2",,"0.15821691","0.6","","15","WD repeat domain 43","1.0","0.194","1.0","23160","false","Nucleus","WDR43","9.2","5","2","","5","0","0","0.75816197","true","0","WDR43","23554","","0.38333333","other"
"20491","5.9572751","0.00134255","12",,"0.16786198","0.4","","16","methyltransferase like 1","1.0","0.375","1.0","4234","false","Nucleus","METTL1","11.83333333","1","12","","6","0","0","0.77466931","true","0","METTL1","172058","","0.23809524","enzyme"
"20492","5.09209589","0.02308472","10",,"0.19638279","0.12121212","","15","peroxisome proliferator-activated receptor gamma, coactivator-related 1","1.0","0.07","1.0","23082","false","Nucleus","PPRC1","17.63636364","4","10","","33","0","0","0.81399564","true","0","PPRC1","5004898","","0.07006061","transcription regulator"
"20493","5.91668645","0.00109576","2",,"0.16901352","0.31818182","","16","partner of NOB1 homolog","1.0","0.479","0.759","56902","false","Nucleus","PNO1","8.91666667","12","2","","12","0","0","0.77651425","true","0","PNO1","239294","","0.16212121","other"
"20494","5.79373368","0.00459765","10",,"0.17260027","0.29090909","","15","DEAD (Asp-Glu-Ala-Asp) box helicase 21","1.0","0.119","1.0","9188","false","Nucleus","DDX21","8.72727273","5","10","","11","0","0","0.78210301","true","0","DDX21","1648020","","0.16755793","enzyme"
"20495","9.63161643","0.0","CHR_HSCHR6_MHC_MCF_CTG1",,"0.10382473","0.0","","18","ATP-binding cassette, sub-family F (GCN20), member 1","1.0","0.228","1.0","23","false","Cytoplasm","ABCF1","2.0","4","6","","1","0","0","0.6076538","true","0","ABCF1","0","","0.0","transporter"
"20496","8.63185379","4.7472E-4","17",,"0.11584997","0.0","","17","dynein, light chain, LC8-type 2","1.0","0.072","1.0","140735","false","Cytoplasm","DYNLL2","3.5","1","17","","2","0","0","0.65309756","true","0","DYNLL2","83560","","0.5","other"
"20497","7.06669831","0.0","7","7","0.1415088","0.0","","17","abhydrolase domain containing 11","0.908","0.517","0.299","83451","false","Cytoplasm","ABHD11","2.0","1","7","","1","0","0","0.72424099","true","0","ABHD11","0","","0.0","enzyme"
"20498","6.06693568","4.7472E-4","15",,"0.16482786","0.0","","16","programmed cell death 7","1.0","-0.335","1.0","10081","false","Nucleus","PDCD7","11.5","3","15","","2","0","0","0.76968474","true","0","PDCD7","71706","","0.5","other"
"20499","5.47400902","0.00736824","13",,"0.18268147","0.20952381","","15","abhydrolase domain containing 13","1.0","-0.18","1.0","84945","false","Other","ABHD13","28.26666667","14","13","","15","0","0","0.79663595","true","0","ABHD13","2407020","","0.14542314","peptidase"
"20500","5.13814384","0.00407787","11",,"0.19462281","0.25581395","","15","FOS-like antigen 1","0.833","-0.54","0.271","8061","false","Nucleus","FOSL1","26.54545455","44","11","","44","0","0","0.81190255","true","0","FOSL1","1328012","","0.08990755","transcription regulator"
"20501","6.47329694","4.7472E-4","9",,"0.15448079","0.0","","16","ring finger protein 20, E3 ubiquitin protein ligase","1.0","0.047","1.0","56254","false","Nucleus","RNF20","8.0","2","9","","2","0","0","0.75121378","true","0","RNF20","153412","","0.5","enzyme"
"20502","5.72394968","9.236E-5","15",,"0.17470454","0.42857143","","16","mitogen-activated protein kinase 6","1.0","0.338","1.0","5597","false","Cytoplasm","MAPK6","25.57142857","1","15","","7","0","0","0.78527501","true","0","MAPK6","32260","","0.23898531","kinase"
"20503","5.3194873","0.00383234","2",,"0.18798804","0.24615385","","15","zinc finger protein 2","1.0","0.045","1.0","7549","false","Other","ZNF2","27.46153846","26","2","","26","0","0","0.80365967","true","0","ZNF2","1133142","","0.10466823","other"
"20504","4.90386898","0.03454029","3",,"0.20392062","0.15263645","","14","cysteine-serine-rich nuclear protein 1","3.74E-72","-1.476","1.27E-73","64651","false","Nucleus","CSRNP1","22.38297872","1","3","","47","0","0","0.82255141","true","0","CSRNP1","9791474","","0.06865944","transcription regulator"
"20505","5.31924994","9.6413E-4","16",,"0.18799643","0.38043478","","15","tumor necrosis factor receptor superfamily, member 12A","1.0","0.423","0.981","51330","false","Plasma Membrane","TNFRSF12A","29.41666667","24","16","","24","0","0","0.80367046","true","0","TNFRSF12A","298174","","0.13921801","transmembrane receptor"
