"SUID","AverageShortestPathLength","BetweennessCentrality","Chromosome Name","chromosome_name","ClosenessCentrality","ClusteringCoefficient","Column 1","Column 3","Drug(s)","Eccentricity","Entrez Gene Name","Exp False Discovery Rate (q-value)","Exp Log Ratio","Exp p-value","ID","IsSingleNode","Location","name","NeighborhoodConnectivity","Node Degree","NombreCromosoma","Notes","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","Symbol","TF","TopologicalCoefficient","Type(s)"
"21996","5.44006646","6.121E-4","20",,"0.18382128","0.33333333","","","","15","PHD finger protein 20","1.0","0.505","0.442","51230","false","Nucleus","PHF20","26.83333333","1","20","","6","0","0","0.7981788","true","0","PHF20","110156","",,"0.25889968","other"
"22306","4.03571429","0.0","20",,"0.24778761","0.0","","","","9","chromosome 20 open reading frame 24","0.00396","0.579","9.46E-4","55969","false","Cytoplasm","C20orf24","7.0","1","20","","1","0","0","0.72402597","true","0","C20orf24","0","","1","0.0","other"
"37469","4.03571429","0.0","20",,"0.24778761","0.0","","","","9","copine I","1.0","0.417","0.903","8904","false","Nucleus","CPNE1","7.0","1","20","","1","0","0","0.72402597","true","0","CPNE1","0","",,"0.0","transporter"
"23475","6.50391645","0.0040209","20",,"0.15375351","0.06666667","","","","13","discs, large (Drosophila) homolog-associated protein 4","1.0","0.451","0.904","22839","false","Plasma Membrane","DLGAP4","6.0","1","20","","6","0","0","0.74982198","true","0","DLGAP4","500258","",,"0.17777778","other"
"37470","2.85714286","0.40079365","20",,"0.35","0.3","","","","7","eukaryotic translation initiation factor 6","1.0","0.414","0.999","3692","false","Cytoplasm","EIF6","4.0","5","20","","5","0","0","0.83116883","true","0","EIF6","632","",,"0.31666667","translation regulator"
"37471","1.41935484","0.17102557","6",,"0.70454545","0.50980392","","","","2","cell division cycle 5-like","1.0","0.266","1.0","988","false","Nucleus","CDC5L","12.77777778","18","6","","18","0","0","0.86021505","true","0","CDC5L","536","","1","0.42407407","other"
"20434","6.42724899","0.0","6",,"0.15558756","0.0","","","","16","alanyl-tRNA synthetase 2, mitochondrial","1.0","-0.009","1.0","57505","false","Cytoplasm","AARS2","13.0","1","6","","1","0","0","0.75330686","true","0","AARS2","0","",,"0.0","enzyme"
"37472","2.3","0.01089217","17",,"0.43478261","0.5","","","","4","alanyl-tRNA synthetase domain containing 1","1.0","-0.039","1.0","80755","false","Nucleus","AARSD1","8.75","4","17","","4","0","0","0.74","true","0","AARSD1","32","",,"0.47222222","enzyme"
"22155","6.1227154","5.7348E-4","17",,"0.16332623","0.6","","","","14","DnaJ (Hsp40) homolog, subfamily C, member 7","1.0","0.232","1.0","7266","false","Cytoplasm","DNAJC7","11.5","6","17","","6","0","0","0.7671493","true","0","DNAJC7","107724","",,"0.25555556","other"
"37473","1.86666667","0.08333906","17",,"0.53571429","0.5","","","","3","neighbor of BRCA1 gene 1","1.0","-0.391","1.0","4077","false","Cytoplasm","NBR1","10.0","8","17","","8","0","0","0.82666667","true","0","NBR1","306","",,"0.395","other"
"37474","1.7","0.1634433","17",,"0.58823529","0.38461538","","","","3","beclin 1, autophagy related","1.0","0.039","1.0","8678","false","Cytoplasm","BECN1","8.07142857","14","17","","14","0","0","0.86","true","0","BECN1","538","",,"0.33333333","other"
"37475","2.16666667","0.00626984","17",,"0.46153846","0.71428571","","","","4","RUN domain containing 1","1.0","0.144","1.0","146923","false","Other","RUNDC1","10.42857143","7","17","","7","0","0","0.76666667","true","0","RUNDC1","24","",,"0.54887218","other"
"37476","1.875","0.0","4",,"0.53333333","1.0","","","","3","aminoadipate-semialdehyde dehydrogenase","1.0","-0.283","1.0","132949","false","Other","AASDH","5.0","2","4","","2","0","0","0.70833333","true","0","AASDH","0","",,"0.71428571","enzyme"
"37477","1.75","0.01785714","4",,"0.57142857","0.66666667","","","","3","exocyst complex component 1","1.0","-0.064","1.0","55763","false","Cytoplasm","EXOC1","4.66666667","3","4","","3","0","0","0.75","true","0","EXOC1","2","",,"0.66666667","transporter"
"25346","1.125","0.42857143","4",,"0.88888889","0.42857143","","","","2","polymerase (RNA) II (DNA directed) polypeptide B, 140kDa","1.0","0.291","1.0","5431","false","Nucleus","POLR2B","3.71428571","7","4","","7","0","0","0.95833333","true","0","POLR2B","34","",,"0.46428571","enzyme"
"37478","2.70192308","0.00306817","11",,"0.37010676","0.71111111","","","","6","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","1.0","0.273","1.0","60496","false","Cytoplasm","AASDHPPT","18.6","10","11","","10","0","0","0.81089744","true","0","AASDHPPT","306","",,"0.39574468","enzyme"
"37479","2.41346154","0.03922495","11",,"0.41434263","0.46783626","","","","6","ALG9, alpha-1,2-mannosyltransferase","1.0","-0.09","1.0","79796","false","Cytoplasm","ALG9","16.63157895","19","11","","19","0","0","0.84294872","true","0","ALG9","2692","",,"0.26399332","enzyme"
"37480","2.78846154","6.846E-5","11",,"0.35862069","0.9047619","","","","6","DEAD (Asp-Glu-Ala-Asp) box polypeptide 10","1.0","0.475","0.764","1662","false","Nucleus","DDX10","21.14285714","7","11","","7","0","0","0.80128205","true","0","DDX10","4","",,"0.50340136","enzyme"
"37481","2.22115385","0.07356291","11",,"0.45021645","0.35402299","","","","6","zw10 kinetochore protein","1.0","0.141","1.0","9183","false","Nucleus","ZW10","14.46666667","30","11","","30","0","0","0.86431624","true","0","ZW10","5498","",,"0.20666667","other"
"22031","8.42250178","0.0","11",,"0.11872957","0.0","","","birinapant","16","baculoviral IAP repeat containing 2","1.0","-0.116","1.0","329","false","Cytoplasm","BIRC2","2.0","10","11","","1","0","0","0.66261356","true","0","BIRC2","0","",,"0.0","enzyme"
"21148","6.05150724","0.00153749","11",,"0.16524809","0.0","","","hexachlorophene","15","succinate dehydrogenase complex, subunit D, integral membrane protein","1.0","-0.398","0.999","6392","false","Cytoplasm","SDHD","7.83333333","16","11","","6","0","0","0.77038603","true","0","SDHD","226034","",,"0.17521368","enzyme"
"25131","5.51507239","4.9352E-4","11",,"0.18132128","0.4","","","","15","nuclear protein, ataxia-telangiectasia locus","1.0","-0.074","1.0","4863","false","Nucleus","NPAT","45.16666667","18","11","","6","0","0","0.79476944","true","0","NPAT","95204","","1","0.3125","transcription regulator"
"23467","6.07120817","0.00106103","11",,"0.16471186","0.0","","","","16","dihydrolipoamide S-acetyltransferase","1.0","-0.006","1.0","1737","false","Cytoplasm","DLAT","9.2","27","11","","5","0","0","0.76949054","true","0","DLAT","180234","",,"0.21025641","enzyme"
"22190","7.95988607","0.0","11",,"0.12562994","0.0","","","","16","chromosome 11 open reading frame 57","1.0","-0.066","1.0","55216","false","Other","C11orf57","3.0","33","11","","1","0","0","0.68364154","true","0","C11orf57","0","",,"0.0","other"
"37482","2.22115385","0.25374185","11",,"0.45021645","0.35177866","","","","5","cullin 5","1.0","-0.063","1.0","8065","false","Nucleus","CUL5","13.95652174","23","11","","23","0","0","0.86431624","true","0","CUL5","15104","",,"0.20830629","ion channel"
"24603","12.26228341","0.0","11",,"0.08155088","0.0","","","","21","kelch repeat and BTB (POZ) domain containing 3","1.0","-0.301","1.0","143879","false","Extracellular Space","KBTBD3","3.0","3","11","","1","0","0","0.48807803","true","0","KBTBD3","0","",,"0.0","other"
"37483","3.90909091","0.21969697","CHR_HSCHR17_7_CTG4",,"0.25581395","0.33333333","","","","6","apoptosis antagonizing transcription factor","2.7E-7","0.761","4.89E-8","26574","false","Nucleus","AATF","2.75","4","17","","4","0","0","0.67676768","true","0","AATF","1464","",,"0.45833333","transcription regulator"
"21593","8.85449798","9.4922E-4","CHR_HSCHR17_7_CTG4",,"0.11293695","0.0","","","","17","synergin, gamma","1.0","-0.07","1.0","11276","false","Cytoplasm","SYNRG","2.5","2","17","","2","0","0","0.64297736","true","0","SYNRG","134560","",,"0.5","other"
"37484","3.21212121","0.30681818","17",,"0.31132075","0.33333333","","","","5","DEAD (Asp-Glu-Ala-Asp) box polypeptide 52","1.0","0.318","1.0","11056","false","Nucleus","DDX52","4.0","3","17","","3","0","0","0.75420875","true","0","DDX52","1920","",,"0.40740741","enzyme"
"24961","6.99287918","4.795E-5","CHR_HSCHR17_7_CTG4",,"0.14300261","0.0","","","","17","zinc finger, HIT-type containing 3","1.0","0.152","1.0","9326","false","Nucleus","ZNHIT3","5.0","3","17","","2","0","0","0.7275964","true","0","ZNHIT3","6710","",,"0.5","transcription regulator"
"37485","4.72727273","0.05681818","17",,"0.21153846","0.66666667","","","","7","gametogenetin binding protein 2","1.0","-0.059","1.0","79893","false","Other","GGNBP2","3.33333333","3","17","","3","0","0","0.58585859","true","0","GGNBP2","492","",,"0.55555556","other"
"37486","1.0","0.0","16",,"1.0","0.0","","","","1","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","3.46E-13","-1.439","4.84E-14","368","false","Plasma Membrane","ABCC6","1.0","1","16","","1","0","0","1.0","true","0","ABCC6","0","",,"0.0","transporter"
"37487","1.0","0.0","CHR_HSCHR16_1_CTG1",,"1.0","0.0","","","","1","ATP-binding cassette, sub-family C, member 6 pseudogene 2","0.0447","-0.858","0.0119","730013","false","Other","ABCC6P2","1.0","1","16","","1","0","0","1.0","true","0","ABCC6P2","0","",,"0.0","other"
"37488","1.76923077","0.0","1",,"0.56521739","1.0","","","","3","mab-21-like 3 (C. elegans)","1.0","0.195","1.0","126868","false","Other","MAB21L3","8.0","5","1","","5","0","0","0.80769231","true","0","MAB21L3","0","",,"0.72727273","other"
"20474","5.5252789","0.0","12","12","0.18098634","0.0","","","","14","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","1.0","-0.486","0.627","10060","false","Plasma Membrane","ABCC9","61.0","8","12","","1","0","0","0.7943055","true","0","ABCC9","0","",,"0.0","ion channel"
"37489","2.0","0.0","X",,"0.5","1.0","","","","3","oligophrenin 1","1.0","0.288","1.0","4983","false","Cytoplasm","OPHN1","8.0","3","X","","3","0","0","0.75","true","0","OPHN1","0","",,"0.8","other"
"37490","1.38461538","0.17029915","18",,"0.72222222","0.64285714","","","","2","KIAA1328","1.0","0.412","0.995","57536","false","Other","KIAA1328","6.375","8","18","","8","0","0","0.90384615","true","0","KIAA1328","52","",,"0.49038462","other"
"37491","1.53846154","0.17029915","9",,"0.65","0.60714286","","","","3","phosphoglucomutase 5 pseudogene 2","1.0","0.144","1.0","595135","false","Other","PGM5P2","6.0","8","9","","8","0","0","0.86538462","true","0","PGM5P2","44","",,"0.5875","other"
"22200","1.92307692","0.0","2",,"0.52","1.0","","","","3","solute carrier family 9, subfamily A (NHE4, cation proton antiporter 4), member 4","1.0","0.11","1.0","389015","false","Plasma Membrane","SLC9A4","7.5","4","2","","4","0","0","0.76923077","true","0","SLC9A4","0","",,"0.75","transporter"
"37492","1.61538462","0.02393162","CHR_HSCHR18_2_CTG2_1",,"0.61904762","0.76190476","","","","3","ATPase, class II, type 9B","1.0","0.353","1.0","374868","false","Cytoplasm","ATP9B","6.71428571","7","18","","7","0","0","0.84615385","true","0","ATP9B","12","",,"0.61038961","transporter"
"22199","1.69230769","0.00961538","12",,"0.59090909","0.86666667","","","","3","chromosome 12 open reading frame 50","1.0","0.183","1.0","160419","false","Other","C12orf50","7.33333333","6","12","","6","0","0","0.82692308","true","0","C12orf50","6","",,"0.66666667","other"
"24917","1.30769231","0.33162393","X",,"0.76470588","0.47222222","","","","2","TBC1 domain family, member 8B (with GRAM domain)","1.0","0.463","0.812","54885","false","Other","TBC1D8B","5.55555556","9","X","","9","0","0","0.92307692","true","0","TBC1D8B","84","",,"0.4537037","other"
"20481","5.77901733","0.00597321","4",,"0.1730398","0.25641026","","","","15","ATP-binding cassette, sub-family E (OABP), member 1","1.0","0.399","0.997","6059","false","Cytoplasm","ABCE1","7.92307692","6","4","","13","0","0","0.78277194","true","0","ABCE1","1815716","",,"0.14658926","transporter"
"20636","5.68241158","3.646E-4","4",,"0.17598162","0.0","","","","13","ubiquitin specific peptidase 38","1.0","0.484","0.661","84640","false","Other","USP38","14.0","3","4","","2","0","0","0.78716311","true","0","USP38","39540","",,"0.5","peptidase"
"37493","2.11111111","0.0","4",,"0.47368421","1.0","","","","3","anaphase promoting complex subunit 10","1.0","0.204","1.0","10393","false","Nucleus","ANAPC10","4.5","2","4","","2","0","0","0.72222222","true","0","ANAPC10","0","",,"0.75","other"
"37494","2.0","0.0","4",,"0.5","1.0","","","","3","transmembrane protein 184C","1.0","0.013","1.0","55751","false","Other","TMEM184C","4.5","2","4","","2","0","0","0.75","true","0","TMEM184C","0","",,"0.64285714","other"
"23508","1.77777778","0.04166667","4",,"0.5625","0.66666667","","","","3","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5","1.0","0.396","0.995","8467","false","Nucleus","SMARCA5","4.0","3","4","","3","0","0","0.80555556","true","0","SMARCA5","6","",,"0.5","transcription regulator"
"37495","2.22222222","0.0","4",,"0.45","0.0","","","","3","OTU deubiquitinase 4","1.0","-0.072","1.0","54726","false","Other","OTUD4","6.0","1","4","","1","0","0","0.69444444","true","0","OTUD4","0","",,"0.0","peptidase"
"21171","6.62117256","0.00173202","4",,"0.15103065","0.0","","","","16","N(alpha)-acetyltransferase 15, NatA auxiliary subunit","2.49E-9","0.729","4.12E-10","80155","false","Nucleus","NAA15","3.66666667","4","4","","3","0","0","0.74449216","true","0","NAA15","185900","",,"0.33333333","transcription regulator"
"37496","3.17777778","0.01550746","CHR_HSCHR6_MHC_QBL_CTG1",,"0.31468531","0.2","","","","9","WD repeat domain 46","1.0","0.23","1.0","9277","false","Nucleus","WDR46","6.5","6","6","","6","0","0","0.81851852","true","0","WDR46","80","",,"0.3245614","enzyme"
"20495","9.63161643","0.0","CHR_HSCHR6_MHC_MCF_CTG1",,"0.10382473","0.0","","","","18","ATP-binding cassette, sub-family F (GCN20), member 1","1.0","0.228","1.0","23","false","Cytoplasm","ABCF1","2.0","4","6","","1","0","0","0.6076538","true","0","ABCF1","0","",,"0.0","transporter"
"37497","2.31111111","0.37227273","CHR_HSCHR6_MHC_MCF_CTG1",,"0.43269231","0.19117647","","","","8","BCL2-associated athanogene 6","1.0","0.134","1.0","7917","false","Nucleus","BAG6","5.47058824","17","6","","17","0","0","0.89074074","true","0","BAG6","1296","",,"0.16727941","enzyme"
"37498","2.48888889","0.37973304","6",,"0.40178571","0.27777778","","","","7","tripartite motif containing 39","1.0","-0.071","1.0","56658","false","Cytoplasm","TRIM39","7.33333333","9","6","","9","0","0","0.87592593","true","0","TRIM39","1296","",,"0.25","other"
"37499","2.73333333","0.09233285","CHR_HSCHR6_MHC_MCF_CTG1",,"0.36585366","0.39285714","","","","8","DEAH (Asp-Glu-Ala-His) box polypeptide 16","1.0","0.034","1.0","8449","false","Nucleus","DHX16","7.875","8","6","","8","0","0","0.85555556","true","0","DHX16","322","",,"0.305","enzyme"
"37500","1.5","0.28888889","7",,"0.66666667","0.3","","","","2","ATP-binding cassette, sub-family F (GCN20), member 2","1.0","0.221","1.0","10061","false","Cytoplasm","ABCF2","4.2","5","7","","5","0","0","0.83333333","true","0","ABCF2","48","",,"0.44444444","transporter"
"37501","1.4","0.11481481","7",,"0.71428571","0.6","","","","2","zinc finger protein 212","1.0","0.069","1.0","7988","false","Nucleus","ZNF212","5.0","6","7","","6","0","0","0.86666667","true","0","ZNF212","26","",,"0.5","other"
"37502","2.4","0.0","7",,"0.41666667","0.0","","","","3","Ras homolog enriched in brain","1.0","0.336","1.0","6009","false","Cytoplasm","RHEB","5.0","1","7","","1","0","0","0.53333333","true","0","RHEB","0","",,"0.0","enzyme"
"37503","1.2","0.38518519","7",,"0.83333333","0.39285714","","","","2","zinc finger protein 746","1.0","0.237","1.0","155061","false","Cytoplasm","ZNF746","4.125","8","7","","8","0","0","0.93333333","true","0","ZNF746","60","",,"0.44444444","transcription regulator"
"23232","1.6","0.08888889","7",,"0.625","0.5","","","","2","cullin 1","1.0","0.229","1.0","8454","false","Nucleus","CUL1","5.0","4","7","","4","0","0","0.8","true","0","CUL1","20","",,"0.5","enzyme"
"37504","2.2","0.0","7",,"0.45454545","1.0","","","","3","negative regulator of ubiquitin-like proteins 1","1.0","0.006","1.0","51667","false","Nucleus","NUB1","4.5","2","7","","2","0","0","0.6","true","0","NUB1","0","",,"0.75","other"
"37505","2.38461538","0.1280027","3",,"0.41935484","0.39285714","","","","5","ATP-binding cassette, sub-family F (GCN20), member 3","1.0","0.221","1.0","55324","false","Other","ABCF3","5.5","8","3","","8","0","0","0.8021978","true","0","ABCF3","480","",,"0.28289474","transporter"
"23562","6.12176596","0.00102941","3",,"0.16335156","0.26666667","","","","16","fragile X mental retardation, autosomal homolog 1","1.0","0.406","0.978","8087","false","Cytoplasm","FXR1","10.5","4","3","","6","0","0","0.76719246","true","0","FXR1","160042","",,"0.22826087","other"
"21697","9.66864467","9.4933E-4","3",,"0.10342711","0.0","","","","19","DCN1, defective in cullin neddylation 1, domain containing 1","1.0","0.333","1.0","54165","false","Nucleus","DCUN1D1","1.33333333","6","3","","3","0","0","0.6059707","true","0","DCUN1D1","139758","",,"0.33333333","other"
"24120","7.2069784","0.0","3",,"0.13875441","1.0","","","","16","polymerase (RNA) II (DNA directed) polypeptide H","0.102","0.554","0.0286","5437","false","Nucleus","POLR2H","3.0","7","3","","2","0","0","0.71786462","true","0","POLR2H","0","",,"0.75","enzyme"
"37506","3.07692308","0.00184757","3",,"0.325","0.83333333","","","","6","adaptor-related protein complex 2, mu 1 subunit","1.0","0.339","1.0","1173","false","Cytoplasm","AP2M1","7.0","4","3","","4","0","0","0.7032967","true","0","AP2M1","14","",,"0.58333333","transporter"
"37507","2.30769231","0.20411606","3",,"0.43333333","0.32142857","","","","5","dishevelled segment polarity protein 3","1.0","0.269","1.0","1857","false","Cytoplasm","DVL3","5.625","8","3","","8","0","0","0.81318681","true","0","DVL3","580","",,"0.25","other"
"37508","3.1025641","0.0","3",,"0.32231405","1.0","","","","6","eukaryotic translation initiation factor 4 gamma, 1","1.0","0.362","1.0","1981","false","Cytoplasm","EIF4G1","8.0","3","3","","3","0","0","0.6996337","true","0","EIF4G1","0","",,"0.66666667","translation regulator"
"25315","6.15618324","0.00113518","3",,"0.16243831","0.0","","","bortezomib/cladribine/rituximab, bortezomib/sorafenib, bortezomib/paclitaxel, bortezomib/dexamethasone, bortezomib/dexamethasone/doxorubicin, bortezomib/dexamethasone/lenalidomide, bortezomib/dexamethasone/thalidomide, bortezomib/prednisone, bortezomib/doxorubicin, bortezomib/vorinostat, bortezomib/thalidomide, bortezomib/rituximab, bortezomib/dexamethasone/rituximab, bortezomib","16","proteasome (prosome, macropain) 26S subunit, non-ATPase, 2","1.0","0.464","0.905","5708","false","Cytoplasm","PSMD2","2.5","4","3","","4","0","0","0.76562803","true","0","PSMD2","163528","",,"0.25","other"
"37509","2.66666667","0.11181479","3",,"0.375","0.35714286","","","","5","eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa","0.687","0.524","0.219","8893","false","Cytoplasm","EIF2B5","4.5","8","3","","8","0","0","0.76190476","true","0","EIF2B5","324","",,"0.32692308","translation regulator"
"37510","1.66666667","0.0","20",,"0.6","0.0","","","","2","abhydrolase domain containing 12","2.48E-18","0.862","2.92E-19","26090","false","Other","ABHD12","3.0","1","20","","1","0","0","0.66666667","true","0","ABHD12","0","",,"0.0","enzyme"
"21413","6.41633041","0.00248473","20",,"0.15585232","0.03571429","","","","15","ectonucleoside triphosphate diphosphohydrolase 6 (putative)","1.0","0.409","0.985","955","false","Cytoplasm","ENTPD6","2.375","3","20","","8","0","0","0.75380316","true","0","ENTPD6","366008","",,"0.18055556","enzyme"
"37511","1.44444444","0.03008104","13",,"0.69230769","0.63809524","","","","2","PCI domain containing 2","1.0","-0.15","1.0","55795","false","Nucleus","PCID2","13.2","15","13","","15","0","0","0.85185185","true","0","PCID2","152","",,"0.48888889","transcription regulator"
"20499","5.47400902","0.00736824","13",,"0.18268147","0.20952381","","","","15","abhydrolase domain containing 13","1.0","-0.18","1.0","84945","false","Other","ABHD13","28.26666667","14","13","","15","0","0","0.79663595","true","0","ABHD13","2407020","",,"0.14542314","peptidase"
"37512","1.25925926","0.09020139","13",,"0.79411765","0.51578947","","","","2","cullin 4A","1.0","0.149","1.0","8451","false","Nucleus","CUL4A","11.75","20","13","","20","0","0","0.91358025","true","0","CUL4A","304","",,"0.43518519","other"
"37513","1.88888889","8.288E-4","13",,"0.52941176","0.86666667","","","","3","testis expressed 30","1.0","0.245","1.0","93081","false","Other","TEX30","14.5","6","13","","6","0","0","0.7037037","true","0","TEX30","6","",,"0.60416667","other"
"22882","7.00925706","0.0","13",,"0.14266847","0.0","","","","16","chromosome alignment maintaining phosphoprotein 1","1.0","-0.072","1.0","283489","false","Nucleus","CHAMP1","3.0","8","13","","1","0","0","0.72685195","true","0","CHAMP1","0","",,"0.0","other"
"25253","6.53928317","8.642E-5","13",,"0.15292196","0.0","","","","14","transmembrane 9 superfamily member 2","1.0","0.243","1.0","9375","false","Plasma Membrane","TM9SF2","5.0","14","13","","2","0","0","0.7482144","true","0","TM9SF2","7840","",,"0.5","transporter"
"37514","1.2962963","0.05648819","13",,"0.77142857","0.56140351","","","","2","transcription factor Dp-1","1.0","0.299","1.0","7027","false","Nucleus","TFDP1","12.26315789","19","13","","19","0","0","0.90123457","true","0","TFDP1","252","","1","0.45419103","transcription regulator"
